calyx,x,y,z
1,7.567104816437,57.804534912109,223.627514648437
2,7.108832836151,61.871501922607,222.578442382812
3,-10.427932739258,52.925350189209,215.702954101562
4,-11.697905540466,55.286563873291,216.236279296875
5,-13.768410682678,53.525028228760,213.981274414062
6,-29.296613693237,53.820858001709,196.798657226562
7,-27.890180587769,58.085117340088,201.542797851562
8,-23.222198486328,55.884429931641,198.213452148437
9,-14.297663688660,46.105998992920,171.268872070312
10,-16.718366622925,48.267978668213,171.721264648437
11,-18.891185760498,54.597408294678,166.834179687500
12,-14.471988677979,48.972938537598,171.557568359375
13,-16.396968841553,51.675601959229,172.546093750000
14,5.856530666351,59.807228088379,223.400097656250